PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=74 ttl=112 time=24.0 ms
64 bytes from 8.8.8.8: icmp_seq=75 ttl=112 time=26.2 ms
64 bytes from 8.8.8.8: icmp_seq=76 ttl=112 time=21.5 ms
64 bytes from 8.8.8.8: icmp_seq=77 ttl=112 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=78 ttl=112 time=22.5 ms
64 bytes from 8.8.8.8: icmp_seq=79 ttl=112 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=80 ttl=112 time=21.1 ms
64 bytes from 8.8.8.8: icmp_seq=81 ttl=112 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=82 ttl=112 time=22.0 ms
64 bytes from 8.8.8.8: icmp_seq=83 ttl=112 time=21.2 ms
64 bytes from 8.8.8.8: icmp_seq=84 ttl=112 time=23.9 ms
64 bytes from 8.8.8.8: icmp_seq=85 ttl=112 time=22.6 ms
64 bytes from 8.8.8.8: icmp_seq=86 ttl=112 time=20.8 ms
64 bytes from 8.8.8.8: icmp_seq=87 ttl=112 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=88 ttl=112 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=89 ttl=112 time=24.0 ms
64 bytes from 8.8.8.8: icmp_seq=90 ttl=112 time=21.6 ms
64 bytes from 8.8.8.8: icmp_seq=91 ttl=112 time=55.2 ms
64 bytes from 8.8.8.8: icmp_seq=92 ttl=112 time=21.2 ms
64 bytes from 8.8.8.8: icmp_seq=93 ttl=112 time=23.5 ms
64 bytes from 8.8.8.8: icmp_seq=94 ttl=112 time=142 ms
64 bytes from 8.8.8.8: icmp_seq=95 ttl=112 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=96 ttl=112 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=97 ttl=112 time=20.8 ms
64 bytes from 8.8.8.8: icmp_seq=98 ttl=112 time=21.6 ms
64 bytes from 8.8.8.8: icmp_seq=99 ttl=112 time=21.2 ms
64 bytes from 8.8.8.8: icmp_seq=100 ttl=112 time=108 ms

--- 8.8.8.8 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99148ms
rtt min/avg/max/mdev = 20.349/26.939/179.894/22.000 ms
